title,link
추석 연휴 국내공항에 96만명 몰릴 듯…'코로나19 통로' 우려,http://yna.kr/AKR20200926055300004?did=1195m
코로나19 재확산에 상용직 16.3만명 실직…역대 최대 감소,http://www.edaily.co.kr/news/newspath.asp?newsid=02879846625904712
"코로나19 신규 확진자 95명...""추석, 재확산 시험대""",https://www.ytn.co.kr/_ln/0103_202009271022115953
"추석 연휴 30만명 입도···제주도, 방역 총력",http://www.jejunews.com/news/articleView.html?idxno=2172351
"다가오는 추석 연휴, 귀향자제가 코로나 3차 유행 막는다",http://www.kmaeil.com/news/articleView.html?idxno=243090
"원희룡 지사, 추석연휴 앞두고 코로나19 피해지역 방문",http://www.headlinejeju.co.kr/news/articleView.html?idxno=428715
추석 코로나19 '분수령'…공무원 이동 자제령 속 '추캉스' 족도,http://www.newspim.com/news/view/20200928000503
"“추석 연휴, 늘어나는 관광객”...제주도, 연휴 기간 행정조치 발동",https://www.seoul.co.kr/news/newsView.php?id=20200926500046&wlog_tag3=naver
"제주도, 3년 연속 대한민국 SNS 광역자치단체 최우수상",http://www.jejusori.net/news/articleView.html?idxno=320602
"코로나19 신규 확진자 125명…추석 연휴, 이것만은 꼭!",http://news.kbs.co.kr/news/view.do?ncd=5012039&ref=A
